cust,sum,count
M020900840,3063651.0,199
M020920877,1487180.0,108
M020969961,14089436.0,588
M020977961,9735118.0,687
M021025382,2087420.0,256
M021121027,22077784.0,1292
M021136955,12315758.0,261
M021191866,5801260.0,58
M021198377,985680.0,64
M021297222,1384580.0,128
M021341630,3376850.0,536
M021474932,150612.0,32
M021772399,6779800.0,289
M021920032,2761190.0,273
M022102008,20629240.0,203
M022193612,22915125.0,553
M022342109,1404860.0,138
M022402686,4881440.0,111
M022469976,9905167.0,562
M022761259,381620.0,160
M022824889,2071640.0,104
M023047390,35416072.0,245
M023095066,2196950.0,39
M023118090,1274200.0,19
M023220838,9033827.0,645
M023302378,7189578.0,237
M023307270,420000.0,8
M023350361,5804032.0,490
M023568421,1738203.0,54
M023783485,5109134.0,243
M023794546,2835060.0,362
M024101254,8501658.0,151
M024139053,9563884.0,621
M024198905,6481730.0,382
M024226272,20200734.0,927
M024360607,2352450.0,136
M024659867,1839380.0,51
M024834869,2064549.0,218
M024953107,2805828.0,250
M024955555,401330.0,44
M024971109,19259366.0,354
M025054375,1637570.0,40
M025168868,252160.0,26
M025467166,15180000.0,62
M025561619,2734090.0,112
M025724477,13891500.0,130
M025850479,3120210.0,138
M025928303,4497652.0,267
M026274832,4225375.0,242
M026481073,670880.0,95
M026524043,5707410.0,413
M026538330,2494799.0,140
M026564713,1629862.0,152
M026680290,1941870.0,349
M026705655,2438668.0,235
M026904284,643048.0,108
M026927877,29056540.0,437
M027085418,4057820.0,57
M027277498,1700700.0,63
M027440421,441675.0,106
M027441945,22957234.0,379
M027521755,5096900.0,22
M027605185,36614018.0,424
M027897691,2737660.0,131
M028027752,5939715.0,290
M028064953,171000.0,129
M028110926,2248320.0,115
M028204215,2449560.0,56
M028291764,23042961.0,96
M028454024,924780.0,180
M028828884,3083874.0,193
M028875906,877712.0,135
M029015400,1212000.0,23
M029045391,6440926.0,375
M029127236,2966183.0,245
M029206865,2289206.0,73
M029390229,1930280.0,95
M029455769,35703590.0,221
M029472955,1495021.0,205
M029478403,2712881.0,360
M029557380,5134060.0,213
M029587621,4881602.0,300
M029668918,18754363.0,645
M029687828,1315316.0,128
M029758319,11002404.0,727
M030085343,1385780.0,108
M030122779,1093840.0,23
M030195680,7246592.0,269
M030238944,5269336.0,184
M030462773,2183600.0,159
M030477840,10323610.0,376
M030608693,2725500.0,43
M030716505,1399340.0,115
M030751344,3776890.0,124
M030879296,2753730.0,119
M030915178,62800.0,2
M030918245,3077450.0,658
M030959068,28900.0,2
M030996048,2017850.0,138
M031064579,8706780.0,444
M031090387,18440970.0,63
M031140733,3639650.0,252
M031662181,844375.0,218
M031687336,1296180.0,42
M031700216,17422669.0,282
M031704059,13484170.0,352
M031925364,300230.0,34
M032032611,3048590.0,126
M032127141,1155690.0,133
M032297192,1885921.0,373
M032346209,2487440.0,151
M032536059,2663480.0,47
M032575952,1351100.0,20
M032576038,274480.0,56
M032694772,5846471.0,259
M032724385,567490.0,82
M032895354,7766450.0,85
M032911167,3485000.0,93
M033212196,5557445.0,254
M033269717,2403370.0,48
M033480950,14833240.0,206
M033482606,791650.0,78
M033634119,4441900.0,108
M033704434,1109270.0,69
M033975838,5035542.0,188
M034251158,13229556.0,649
M034298304,17602446.0,419
M034436789,1109750.0,40
M034775336,1391940.0,262
M034857155,481060.0,106
M034888674,1570300.0,43
M034936927,22242750.0,519
M034964840,1395080.0,58
M035037103,257066392.0,401
M035470647,716484500.0,140
M035502859,90603559.0,374
M035547728,16340725.0,962
M035551031,4128714.0,490
M035670981,764550.0,44
M035747703,1779760.0,168
M035857673,8369953.0,238
M035899958,8769565.0,627
M035934590,1332690.0,213
M035979715,7394620.0,436
M036047628,481830.0,36
M036670906,5839808.0,804
M036787846,8723000.0,919
M036817156,1079697.0,149
M036853711,52604750.0,243
M036895978,13302710.0,188
M037171700,2327290.0,39
M037392688,12630890.0,731
M037536150,2732170.0,214
M037548474,5103690.0,274
M037663353,2794587.0,157
M037710479,26513970.0,214
M038082268,1775990.0,81
M038137438,15193013.0,356
M038184196,835270.0,84
M038270435,14002320.0,193
M038336563,3508280.0,431
M038394637,4115837.0,484
M038440469,902928.0,82
M038608044,159390.0,55
M038617186,3503520.0,137
M038673212,6374739.0,99
M038749165,7203260.0,285
M038801652,7117150.0,198
M039032216,426340.0,91
M039097739,11915692.0,522
M039218857,5324935.0,351
M039320884,5259820.0,421
M039336482,15365371.0,402
M039630277,1283006.0,114
M039656170,2742007.0,84
M039765618,7719666.0,381
M039785719,4119040.0,206
M039838780,2805401.0,431
M039902806,12875634.0,130
M040398827,2247016.0,330
M040448106,1602018.0,179
M040573933,2442702.0,151
M040706769,2570430.0,144
M040736595,34713806.0,701
M040784463,1738520.0,96
M040864600,2399416.0,141
M041003585,6838600.0,71
M041025546,2716680.0,58
M041029569,4001700.0,140
M041279110,1555827.0,178
M041414798,3628558.0,206
M041542868,7716470.0,138
M041671640,388000.0,1
M041983263,6336405.0,175
M042133454,1773342.0,213
M042212109,5269098.0,573
M042287054,1935602.0,223
M042328599,9661992.0,327
M042503442,1170968.0,138
M042513371,397640.0,28
M042638395,6486875.0,627
M042667132,3109997.0,250
M042737324,16834980.0,305
M042916641,1928160.0,101
M043042418,7236579.0,299
M043104578,1508999.0,230
M043250216,8880400.0,35
M043359884,12151337.0,402
M043459226,8741091.0,769
M043611542,1780570.0,47
M043721895,872880.0,59
M043729143,2599330.0,143
M043748210,1850260.0,38
M043767284,3836100.0,130
M043793502,4798750.0,90
M043804006,4722550.0,291
M043852162,2882053.0,154
M043873800,541922.0,122
M044182143,5014380.0,91
M044352089,8037060.0,71
M044376221,1180182.0,204
M044547101,725720.0,37
M044626650,5941810.0,260
M044772689,478350.0,48
M044837439,6265388.0,369
M044854485,10637374.0,206
M044885220,11840340.0,723
M044901114,22149076.0,626
M045055866,1133360.0,93
M045220507,1080149.0,141
M045317761,32919470.0,218
M045416783,469990.0,139
M045574611,3161960.0,34
M045677356,6650800.0,70
M045767804,35380.0,5
M045797634,10063207.0,456
M045913435,200200.0,42
M046113066,4943160.0,251
M046113622,3459100.0,55
M046409527,4474220.0,143
M046497583,722460.0,28
M046501505,7064530.0,434
M046567517,6601350.0,549
M046679940,19188552.0,807
M046760217,6202800.0,141
M046817737,10980980.0,458
M046979611,6010028.0,356
M046984192,6283868.0,843
M047262601,7505359.0,264
M047264703,390710.0,85
M047458702,1686605.0,94
M047616615,15507284.0,137
M047678783,53320290.0,267
M047887049,9101868.0,625
M047950443,1646026.0,351
M047980278,167381.0,15
M048032817,786300.0,45
M048155337,3358592.0,116
M048371652,1170130.0,50
M048866855,4637530.0,117
M048877870,3737137.0,78
M048965303,2002583.0,543
M049131587,1508820.0,55
M049147786,1328260.0,36
M049288827,22041930.0,238
M049320021,2379840.0,305
M049345995,2486860.0,165
M049621013,769240.0,177
M049729478,2453400.0,35
M049793704,2847821.0,309
M049811117,880170.0,69
M049927846,1152080.0,119
M050032265,1478900.0,20
M050041697,1266796.0,161
M050101003,11009590.0,391
M050156093,4799410.0,234
M050173190,1612510.0,185
M050258217,1338286.0,48
M050275195,6008801.0,538
M050381215,2084290.0,78
M050388344,5325506.0,258
M050517741,1439110.0,136
M050571384,13680510.0,80
M050571621,11960780.0,80
M050939327,4625750.0,133
M050994369,347700.0,33
M051013001,4560505.0,96
M051020916,1090990.0,43
M051177577,59646200.0,214
M051190906,68657250.0,167
M051207337,2871400.0,26
M051228523,4179450.0,122
M051383948,1103800.0,17
M051581833,9898807.0,328
M051792698,2887970.0,47
M052078037,499000.0,1
M052186520,8536844.0,1160
M052226273,1047990.0,147
M052236972,4390500.0,6
M052251047,1808680.0,34
M052348195,1060745.0,87
M052425190,12552515.0,1308
M052429414,3058100.0,351
M052443217,22750940.0,126
M052658222,6432030.0,69
M052721089,1073199.0,216
M052865440,2971800.0,405
M053071039,49113741.0,313
M053281627,4754058.0,552
M053291261,1089799.0,235
M053333840,1948159.0,397
M053373693,120650.0,8
M053820581,6076020.0,91
M054090448,5886478.0,197
M054106081,3921940.0,213
M054142332,4018219.0,360
M054153739,490902.0,66
M054153775,6052334.0,233
M054184138,3108303.0,650
M054350787,1600300.0,158
M054395652,24642174.0,192
M054578187,3934040.0,531
M054579732,20981590.0,427
M054687684,2174173.0,111
M054694720,587620.0,48
M054922365,1585238.0,134
M055093452,5611640.0,134
M055544793,9415964.0,388
M055586276,11402760.0,260
M055905901,2281294.0,411
M055939543,2756634.0,129
M055967343,5942833.0,329
M056145651,10225848.0,1890
M056617460,1374764.0,306
M056621722,8490620.0,536
M056635590,1863577.0,95
M056705012,3498000.0,72
M056729430,20560540.0,146
M056753299,5816440.0,44
M056896338,6530880.0,301
M056915029,3692300.0,256
M057015266,68985263.0,12448
M057037090,4464440.0,109
M057111638,7599774.0,859
M057159597,3829157.0,249
M057216075,2766560.0,102
M057558020,3231589.0,320
M057602790,6433670.0,304
M057690131,95500.0,14
M057730243,83800.0,50
M057796559,18893884.0,535
M057982536,1326331.0,148
M058050991,39486500.0,25
M058071296,1127270.0,140
M058162968,7327580.0,171
M058287503,638451.0,86
M058299099,2414313.0,485
M058328532,4909610.0,836
M058364605,2841332.0,137
M058369358,5519450.0,15
M058642605,2596268.0,535
M059184567,367690.0,38
M059275971,835220.0,60
M059302508,2320400.0,229
M059329351,4437790.0,26
M059544045,7854501.0,725
M059586129,2002970.0,107
M059603556,19900.0,9
M059605585,695060.0,43
M059952135,11395650.0,870
M060118164,7793020.0,55
M060207253,34010146.0,298
M060350786,4374682.0,377
M060392453,1378160.0,36
M060416593,1376410.0,76
M060646742,634717.0,152
M060790553,1412760.0,156
M060910636,8921184.0,214
M061069756,2087690.0,143
M061073007,8609660.0,255
M061155123,6331330.0,179
M061272282,898054.0,101
M061530328,21680960.0,89
M061567206,3445430.0,77
M061589994,14874574.0,312
M061683673,15749230.0,289
M061808581,7806950.0,233
M061879808,28624580.0,738
M061906173,10825725.0,191
M062070017,1714918.0,91
M062359799,538800.0,54
M062626476,1115579.0,31
M062713188,9747830.0,116
M062826009,7431350.0,176
M062833416,3768370.0,232
M063050819,3047762.0,311
M063107810,4186715.0,268
M063241538,1473780.0,31
M063403258,9340696.0,457
M063467735,689660.0,38
M063584440,320380.0,90
M063683153,16794608.0,1141
M063818871,1275126.0,152
M063954226,3474959.0,282
M063965034,29606250.0,368
M064002427,2281640.0,68
M064120209,920760.0,41
M064289519,704880.0,45
M064308879,1318023.0,91
M064396919,3325840.0,689
M064449266,2904516.0,270
M064525902,130982680.0,233
M064601903,4189046.0,608
M064660141,3136837.0,547
M064676860,3512030.0,380
M064954670,128000.0,1
M064990101,3734726.0,255
M065000570,2731330.0,335
M065151598,28524800.0,267
M065263825,2864520.0,82
M065308498,13044310.0,113
M065425567,699760.0,28
M065507164,702890.0,37
M065520837,3386240.0,131
M065592983,951720.0,98
M065761687,11514998.0,178
M065822382,1858732.0,58
M065887840,2441320.0,123
M065905599,5373040.0,183
M065959253,3638200.0,187
M065960799,873630.0,15
M066035437,18569360.0,125
M066071224,1381680.0,208
M066356663,6167620.0,90
M066402779,26294410.0,156
M066416187,1437950.0,108
M066475944,599440.0,139
M066484209,850195.0,123
M066585801,2075420.0,49
M066611710,1152270.0,127
M066706672,768710.0,48
M066706943,71200.0,1
M067167944,32187785.0,932
M067242911,5030550.0,73
M067367346,14533624.0,863
M067496639,44134163.0,932
M067651699,3466750.0,232
M068163474,47862088.0,450
M068633282,4092740.0,271
M068815073,3300251.0,94
M068944376,6841360.0,259
M069050417,308680.0,25
M069103585,3135780.0,31
M069274206,10069480.0,147
M069463267,6836230.0,154
M069552338,395270.0,25
M069576817,1225200.0,28
M069844485,30164225.0,253
M070050055,25310571.0,441
M070231934,858469.0,69
M070509529,2234929.0,168
M070544564,9859837.0,690
M070774742,6646030.0,104
M071099613,1447360.0,297
M071121776,12859550.0,470
M071425384,1997250.0,251
M071727740,608035.0,99
M071908843,2726990.0,94
M071944846,3966395.0,376
M072055624,7350363.0,826
M072300498,3107440.0,159
M072450416,9747994.0,392
M072738528,7637096.0,663
M072825790,20591172.0,475
M072865783,12357226.0,263
M072891449,4669042.0,176
M072945899,6132280.0,80
M072953358,2152450.0,212
M072994801,5885880.0,42
M073027406,9259060.0,182
M073325300,1640411.0,128
M073553732,978190.0,52
M073574798,4224125.0,932
M073630488,3352235.0,152
M073736555,1310700.0,33
M073769237,21134904.0,273
M073874461,2077290.0,38
M073970063,629256.0,140
M074016193,37005095.0,520
M074170698,6977150.0,50
M074294048,1306510.0,19
M074334264,2583897.0,262
M074620514,2322014.0,110
M074641402,891019.0,95
M074669671,170708844.0,276
M074815596,3987532.0,171
M074915400,14546105.0,170
M075037046,1901120.0,32
M075392188,26863860.0,212
M075584360,4879430.0,37
M075627808,5076587.0,336
M075651214,4486860.0,109
M075693769,2622820.0,79
M075995202,304963682.0,389
M075996146,1587012.0,235
M076157838,2094800.0,51
M076227094,4126140.0,110
M076278121,1148450.0,197
M076452320,10769230.0,36
M076543111,32654983.0,394
M076780325,1342620.0,216
M076809249,4403885.0,178
M077104923,1916292.0,292
M077172432,48580.0,11
M077335426,2322800.0,36
M077371923,138000.0,1
M077556073,3023540.0,143
M077597870,1758593.0,81
M077601014,458912.0,53
M077793628,4575160.0,93
M077939428,10851550.0,34
M077981123,117000.0,12
M078002335,229359.0,42
M078027392,9172626.0,562
M078076246,18576170.0,122
M078130709,1569520.0,70
M078175257,12234850.0,41
M078213748,6734456.0,302
M078463151,2272157.0,188
M078511517,15064950.0,446
M078754414,2210610.0,152
M078842827,186020.0,9
M078911228,1470553.0,36
M078940688,1827185.0,105
M079208451,1930228.0,170
M080206245,1872670.0,38
M080548319,26419960.0,523
M080720090,9244810.0,410
M080824166,1570470.0,67
M080937262,1121830.0,62
M081010742,4949385.0,67
M081078897,1350980.0,63
M081239002,443470.0,13
M081509540,2544256.0,350
M081673803,725220.0,171
M081815859,27371428.0,223
M081882413,105600.0,7
M082058519,1033000.0,27
M082282919,440130.0,131
M082305030,2025186.0,264
M082323914,18160160.0,270
M082326053,61470.0,13
M082463855,1806980.0,295
M082508454,21834340.0,369
M082708983,10818470.0,217
M082807175,19390460.0,23
M083058080,45985330.0,381
M083270072,7160886.0,806
M083407122,1481656.0,151
M083434555,1529560.0,23
M083535647,2048472.0,178
M083612455,7354500.0,126
M083674830,5049700.0,58
M083765643,5499690.0,198
M084009987,1217120.0,128
M084117436,6713623.0,342
M084176281,9778375.0,622
M084516911,5469004.0,375
M084579404,5107976.0,411
M084614967,22689440.0,110
M084624556,1939940.0,106
M084719124,223650.0,61
M084843553,4147829.0,718
M084859517,3560736.0,264
M085020453,1697860.0,49
M085028626,1308640.0,363
M085041421,133052691.0,534
M085437322,5557965.0,499
M085665168,37302140.0,92
M085985741,7429023.0,656
M086097558,4325448.0,145
M086384228,2445550.0,69
M086510587,3013554.0,436
M086684903,3770545.0,602
M086878075,4502420.0,392
M086897227,4880845.0,234
M087255823,9138534.0,193
M087286056,4954142.0,162
M087434208,22819802.0,416
M087587972,4034220.0,161
M087637262,3596200.0,453
M087661121,1356865.0,44
M087731158,2626184.0,308
M087780557,22592770.0,44
M088095594,7028588.0,115
M088108517,2818150.0,164
M088213828,3768840.0,59
M088279660,1084910.0,91
M088335570,12101523.0,662
M088393685,95104300.0,124
M088474966,20430810.0,511
M088693470,779100.0,23
M088819250,6182753.0,225
M088827294,16287580.0,176
M088959603,4632408.0,616
M089084044,848500.0,18
M089155813,4473487.0,539
M089297767,35724574.0,290
M089400978,893174.0,221
M089408006,2348970.0,526
M089706924,12902960.0,213
M089886972,5084120.0,353
M090103343,8283650.0,294
M090111379,150100.0,3
M090139116,1776860.0,72
M090140706,722290.0,132
M090454338,3017030.0,234
M090737754,3402240.0,243
M090842806,278720.0,20
M090920221,3310539.0,420
M090971384,1124600.0,54
M090987751,1276070.0,78
M091734165,3638184.0,270
M091771738,7311760.0,956
M092195285,482120.0,30
M092217689,966184.0,146
M092369222,917070.0,56
M092448213,5274990.0,797
M092499720,2373590.0,174
M092602995,788426.0,119
M092736185,10726930.0,164
M092899717,139300.0,2
M093012030,1081960.0,37
M093087034,1261200.0,19
M093130688,332550.0,44
M093303103,2385320.0,50
M093408879,1368040.0,73
M093454239,7836425.0,682
M093484360,1366450.0,204
M093767688,976664.0,133
M093985737,5912180.0,155
M094055558,7030590.0,541
M094084969,5058890.0,217
M094220715,5421943.0,327
M094251585,2458406.0,278
M094565793,5779341.0,656
M094616845,14874420.0,175
M094658818,898400.0,39
M094765486,9980270.0,275
M094960178,922420.0,144
M094981969,398320.0,22
M095234941,1393220.0,117
M095302541,2373300.0,27
M095362294,1081405.0,132
M095373508,8455970.0,674
M095606505,5167320.0,71
M095644108,2485110.0,208
M095682310,5507250.0,250
M095707426,723932.0,62
M095755909,25803490.0,178
M096093077,1222708.0,431
M096163881,6571351.0,1082
M096165702,15591645.0,125
M096179816,256320.0,33
M096475974,475420.0,59
M096620499,1139325.0,378
M096753431,1817666.0,87
M096895236,2148090.0,119
M096979200,2728441.0,173
M097157467,12395480.0,50
M097192800,9678062.0,894
M097371615,13140471.0,596
M097586195,15733800.0,261
M097595988,2162961.0,250
M097902834,2112626.0,337
M098115021,4290084.0,161
M098156439,11650318.0,176
M098257025,5876235.0,138
M098304496,23232980.0,954
M098324206,15063748.0,327
M098391534,3054630.0,462
M098701331,3045930.0,141
M098852447,19593254.0,240
M099003374,1743040.0,62
M099376544,2476608.0,207
M099565082,2376140.0,120
M099633150,3838356.0,131
M100033568,1235620.0,95
M100130687,1182152.0,69
M100780204,1613280.0,136
M100907158,3384050.0,73
M100924636,3550668.0,74
M100972133,12848168.0,842
M101011119,3696170.0,49
M101344975,159200.0,1
M101616705,6218500.0,543
M101682931,5611435.0,231
M101707311,5548790.0,541
M102014201,3068000.0,41
M102123825,1150420.0,41
M102283139,2500968.0,53
M102525852,8641040.0,458
M102536951,9371612.0,268
M102791421,1785087.0,110
M102869629,209500.0,64
M102923644,1907450.0,83
M102958944,778300.0,65
M103059290,1174980.0,101
M103664890,12138020.0,210
M103891066,7785078.0,475
M103897322,863769830.0,158
M103936394,8671342.0,219
M103987218,1792480.0,173
M104026977,1520197.0,101
M104280675,1194872.0,128
M104547120,5249410.0,196
M104547879,3100281.0,356
M104578371,2641850.0,77
M104682362,4461066.0,223
M104754192,2439132.0,85
M104776596,35666910.0,293
M104814630,34323995.0,417
M105052449,559680.0,119
M105070447,9413850.0,37
M105172311,1585948.0,87
M105373674,6131855.0,179
M105472832,6809410.0,161
M105473637,2936670.0,440
M105560562,3212673.0,130
M105616631,6655890.0,572
M105651757,1295174.0,98
M105903193,6522013.0,145
M105909650,245580.0,52
M106138847,15944660.0,697
M106302547,1420390.0,96
M106470599,1227210.0,71
M106517626,2193599.0,254
M106599021,12257140.0,25
M106668449,17183898.0,693
M106786012,12000.0,1
M107327667,6844110.0,70
M107475192,5544040.0,122
M107490374,1250618.0,219
M107709772,4753083.0,288
M107718348,7294684.0,541
M107941811,7918608.0,829
M108086967,1337960.0,111
M108132085,15403567.0,141
M108148057,9413980.0,906
M108505045,9809593.0,578
M108801892,58820.0,9
M109158107,4917181.0,392
M109362467,33793610.0,64
M109390473,4465280.0,28
M109405595,26622350.0,172
M109482392,2156330.0,128
M110051930,564200.0,11
M110152391,2292410.0,132
M110272633,320640.0,10
M110336726,4802891.0,503
M110353365,2262275.0,311
M110483510,3613180.0,150
M110734295,3205943.0,440
M110954052,890500.0,32
M110972007,2040474.0,119
M111013444,1615760.0,116
M111121831,1627853.0,83
M111211583,125692780.0,453
M111219215,1836484.0,298
M111243168,2935645.0,70
M111257755,428760.0,57
M111260476,5718669.0,439
M111337228,8568342.0,324
M111353454,17791590.0,287
M111386579,9013292.0,502
M111526236,1956100.0,50
M111556273,44445130.0,370
M111591198,1626790.0,277
M111640657,910600.0,144
M111640884,42408516.0,116
M111713214,2112742.0,130
M111739208,33879981.0,552
M111895353,2644980.0,53
M111898182,9873900.0,312
M111934771,2626740.0,73
M111943074,1760144.0,140
M112040345,8923700.0,42
M112051870,1489610.0,108
M112114610,2475526.0,237
M112130266,5787020.0,52
M112243627,2605160.0,131
M112377286,1555028.0,32
M112492179,619980.0,102
M112699950,3873423.0,521
M112838024,369500.0,10
M112850551,1680270.0,146
M112858378,1099760.0,108
M112984951,2383170.0,275
M113141226,24035910.0,41
M113196481,15110711.0,1000
M113305490,763130.0,60
M113512594,825560.0,50
M113563050,2086572.0,249
M113699546,1449314.0,215
M113733668,5241316.0,284
M113763811,39103500.0,304
M113865311,591850.0,67
M113869831,5877210.0,108
M113882600,3805251.0,65
M113930483,63600.0,11
M114119364,1795500.0,42
M114182526,7964410.0,129
M114236200,3127616.0,77
M114249906,1905100.0,79
M114290208,645538.0,90
M114374841,158290.0,9
M114419861,22346270.0,113
M114556560,7040110.0,82
M114569311,8691970.0,72
M114726317,13811020.0,177
M114776302,121280330.0,45
M115005247,2780785.0,563
M115043173,526090.0,124
M115242428,799900.0,8
M115354649,668988.0,90
M115551352,738104.0,48
M115567757,1189240.0,44
M115611476,8189520.0,148
M115734540,4586212.0,123
M115791290,1005890.0,57
M115908281,1995200.0,280
M115992413,4531090.0,782
M116044476,866370.0,88
M116331199,4593910.0,34
M116353873,816600.0,68
M116603791,99680.0,16
M116605628,1708920.0,50
M116980550,1460078.0,96
M117125372,9894082.0,477
M117139388,1455900.0,79
M117204481,819202.0,71
M117222403,7448420.0,77
M117456837,635830.0,70
M117745230,28680340.0,188
M117808657,516710.0,28
M117977562,2188922.0,142
M118004084,1608678.0,190
M118114326,6140249.0,544
M118214650,9545980.0,120
M118262832,1163320.0,32
M118308498,2155621.0,183
M118705305,15200260.0,509
M118728111,1763230.0,4
M118785120,688860.0,31
M118790272,1753850.0,123
M118839415,2587240.0,144
M118984499,5016194.0,233
M119479356,324800.0,65
M119538965,1320920.0,76
M119550308,2458420.0,245
M119629908,3759480.0,170
M119660774,2461637.0,228
M119802103,11619900.0,149
M119815507,3086990.0,15
M120247124,211500.0,64
M120276603,1056695.0,52
M120283055,1615434.0,155
M120600759,3775910.0,433
M120657963,8303812.0,730
M120732255,7067819.0,334
M120798295,624300.0,39
M120803794,10035084.0,912
M120816441,611330.0,45
M120882272,1661960.0,78
M120891887,1194488.0,280
M120926572,11407283.0,141
M120945966,40586710.0,184
M121046455,2422990.0,213
M121204936,7839780.0,595
M121265322,8347270.0,83
M121314354,9427260.0,218
M121331271,448620.0,10
M121385152,1332808.0,112
M121409836,6651270.0,177
M121621624,51481700.0,237
M121625215,9723080.0,126
M121683091,4309522.0,233
M121785191,1782108.0,271
M121870779,1951829.0,238
M121932249,7711075.0,244
M122020625,931970.0,96
M122038031,8955770.0,118
M122123039,19043652.0,216
M122156921,2271660.0,178
M122184330,2144370.0,44
M122211550,3012682.0,406
M122212929,4998820.0,156
M122230944,632406.0,87
M122299342,1517294.0,94
M122480236,9415380.0,16
M122600644,1244918.0,83
M122682687,726700.0,97
M122777680,10367950.0,669
M122787622,3918353.0,647
M122881833,9567920.0,259
M122915581,6945320.0,907
M122944586,8826770.0,129
