,num,cust,recency,count,sum
96,96,M012096174,20211225,23,2030920.0
97,97,M012312404,20211205,36,1072034.0
98,98,M012350286,20211231,47,889320.0
99,99,M012732690,20210816,29,1210469.0
100,100,M012778138,20211231,65,2807650.0
101,101,M013069595,20211231,50,4746618.0
102,102,M013090322,20210303,1,26000.0
103,103,M013178107,20211224,20,1485420.0
104,104,M013256049,20211221,30,1141973.0
105,105,M013285074,20211221,109,4379870.0
106,106,M013639641,20211220,8,267520.0
107,107,M013700307,20211026,31,1343653.0
108,108,M013769296,20211204,59,872603.0
109,109,M013938777,20211221,34,1712180.0
110,110,M013962648,20211216,53,4699852.0
111,111,M014008347,20211228,50,4434286.0
112,112,M014035745,20211202,26,2715730.0
113,113,M014070401,20210610,1,13900.0
114,114,M014275222,20211231,205,12126715.0
115,115,M014292351,20211212,53,738770.0
116,116,M014340605,20211211,45,2778487.0
117,117,M014382968,20211109,36,3122450.0
118,118,M014583713,20211230,145,20183908.0
119,119,M014747239,20211023,54,4566920.0
120,120,M015042346,20211231,228,7561722.0
121,121,M015046115,20210718,24,624812.0
122,122,M015325650,20211231,26,10332830.0
123,123,M015471763,20211225,84,4849457.0
124,124,M015491572,20211231,156,1981800.0
125,125,M015518376,20211113,29,1890010.0
126,126,M015614508,20211225,15,82300.0
127,127,M015650164,20211230,164,5163068.0
128,128,M015674072,20211229,154,5695080.0
129,129,M015674351,20210806,25,313950.0
130,130,M015750998,20211228,127,9377961.0
131,131,M015851779,20211231,158,9919210.0
132,132,M015853886,20211225,48,4026152.0
133,133,M015892198,20211231,101,9418630.0
134,134,M016004710,20211229,165,13371270.0
135,135,M016061527,20211212,23,155670.0
136,136,M016070523,20211225,100,8025820.0
137,137,M016223791,20211013,8,76150.0
138,138,M016312977,20211215,17,6480900.0
139,139,M016404339,20211228,47,24334437.0
140,140,M016631704,20211231,93,7179800.0
141,141,M016698917,20210920,26,1471610.0
142,142,M016707093,20211221,143,4660047.0
143,143,M016751224,20211221,62,5925530.0
144,144,M016764179,20211226,89,20950717.0
145,145,M016813663,20211225,68,3010726.0
146,146,M016822877,20211229,130,3998130.0
147,147,M016827017,20211228,40,2009169.0
148,148,M016843749,20211225,107,13946596.0
149,149,M016999679,20211211,40,1223260.0
150,150,M017173158,20211222,161,4095432.0
151,151,M017524395,20211211,56,531893.0
152,152,M017535243,20211230,29,7151158.0
153,153,M017593881,20211219,24,1204173.0
154,154,M017726470,20211201,24,1070930.0
155,155,M017874504,20210926,20,810130.0
156,156,M018156864,20211229,159,9958286.0
157,157,M018184823,20211225,58,5637690.0
158,158,M018261698,20211206,39,14102406.0
159,159,M018268015,20211229,37,2963124.0
160,160,M018305555,20210427,101,2069722.0
161,161,M018340302,20211229,95,6900339.0
162,162,M018522655,20211009,20,1790210.0
163,163,M018701446,20210625,1,287000.0
164,164,M018754345,20211228,56,2623943.0
165,165,M018846875,20210901,20,686368.0
166,166,M019728616,20211205,63,8402400.0
167,167,M019822754,20211226,31,6921186.0
169,169,M020104311,20211228,79,6179258.0
170,170,M020136767,20211218,43,2425090.0
171,171,M020145678,20211227,106,5826055.0
172,172,M020155133,20211219,35,1575310.0
173,173,M020192002,20211225,51,1461049.0
174,174,M020552991,20211224,25,2522100.0
175,175,M020573391,20211231,30,7211460.0
177,177,M020675585,20211228,39,1751790.0
178,178,M020734806,20211228,132,743565.0
179,179,M020795432,20211230,89,5416460.0
180,180,M020850597,20211120,41,1423540.0
181,181,M020870342,20211231,43,7063260.0
182,182,M020900840,20211202,28,3063651.0
183,183,M020920877,20211219,90,1487180.0
184,184,M020969961,20211229,208,14089436.0
185,185,M020977961,20211229,122,9735118.0
186,186,M021025382,20211114,37,2087420.0
187,187,M021121027,20211226,248,22077784.0
188,188,M021136955,20211230,71,12315758.0
189,189,M021191866,20211117,32,5801260.0
190,190,M021198377,20211205,19,985680.0
191,191,M021297222,20210720,31,1384580.0
192,192,M021341630,20210524,23,3376850.0
193,193,M021474932,20211228,4,150612.0
194,194,M021772399,20211223,59,6779800.0
195,195,M021920032,20211220,25,2761190.0
196,196,M022102008,20211231,124,20629240.0
197,197,M022193612,20211226,200,22915125.0
198,198,M022342109,20211203,57,1404860.0
199,199,M022402686,20211226,65,4881440.0
200,200,M022469976,20211224,175,9905167.0
201,201,M022761259,20211229,50,381620.0
202,202,M022824889,20211226,40,2071640.0
204,204,M023095066,20210813,26,2196950.0
205,205,M023118090,20211225,18,1274200.0
206,206,M023220838,20211231,92,9033827.0
207,207,M023302378,20211219,80,7189578.0
208,208,M023307270,20210730,5,420000.0
209,209,M023350361,20211224,146,5804032.0
210,210,M023568421,20211230,26,1738203.0
211,211,M023783485,20211226,177,5109134.0
212,212,M023794546,20211223,64,2835060.0
213,213,M024101254,20211219,79,8501658.0
214,214,M024139053,20211224,62,9563884.0
215,215,M024198905,20211230,157,6481730.0
216,216,M024226272,20211231,239,20200734.0
217,217,M024360607,20211229,65,2352450.0
218,218,M024659867,20211221,24,1839380.0
219,219,M024834869,20211224,44,2064549.0
220,220,M024953107,20211227,63,2805828.0
221,221,M024955555,20211120,16,401330.0
222,222,M024971109,20211229,175,19259366.0
223,223,M025054375,20211231,29,1637570.0
224,224,M025168868,20210913,10,252160.0
225,225,M025467166,20210609,45,15180000.0
226,226,M025561619,20211204,20,2734090.0
227,227,M025724477,20211116,51,13891500.0
228,228,M025850479,20211226,115,3120210.0
229,229,M025928303,20210929,85,4497652.0
230,230,M026274832,20211213,63,4225375.0
231,231,M026481073,20211231,67,670880.0
232,232,M026524043,20211228,132,5707410.0
233,233,M026538330,20211205,39,2494799.0
234,234,M026564713,20211217,21,1629862.0
235,235,M026680290,20211225,42,1941870.0
236,236,M026705655,20211224,22,2438668.0
237,237,M026904284,20211231,33,643048.0
239,239,M027085418,20211209,41,4057820.0
240,240,M027277498,20211205,33,1700700.0
241,241,M027440421,20211129,38,441675.0
242,242,M027441945,20211028,162,22957234.0
243,243,M027521755,20211218,19,5096900.0
245,245,M027897691,20211231,73,2737660.0
246,246,M028027752,20211224,56,5939715.0
247,247,M028064953,20211231,127,171000.0
248,248,M028110926,20211128,70,2248320.0
249,249,M028204215,20210815,27,2449560.0
250,250,M028291764,20211226,48,23042961.0
251,251,M028454024,20211020,27,924780.0
252,252,M028828884,20211225,105,3083874.0
253,253,M028875906,20211231,18,877712.0
254,254,M029015400,20211127,16,1212000.0
255,255,M029045391,20211128,160,6440926.0
256,256,M029127236,20211221,53,2966183.0
257,257,M029206865,20210707,36,2289206.0
258,258,M029390229,20211210,33,1930280.0
260,260,M029472955,20211228,42,1495021.0
261,261,M029478403,20211231,35,2712881.0
262,262,M029557380,20211225,60,5134060.0
263,263,M029587621,20211231,34,4881602.0
264,264,M029668918,20211229,235,18754363.0
265,265,M029687828,20211231,30,1315316.0
266,266,M029758319,20211231,204,11002404.0
267,267,M030085343,20211229,53,1385780.0
268,268,M030122779,20211113,18,1093840.0
269,269,M030195680,20211231,93,7246592.0
270,270,M030238944,20211229,66,5269336.0
271,271,M030462773,20211230,35,2183600.0
272,272,M030477840,20211227,155,10323610.0
273,273,M030608693,20211230,33,2725500.0
274,274,M030716505,20211225,58,1399340.0
275,275,M030751344,20211130,74,3776890.0
276,276,M030879296,20211202,80,2753730.0
277,277,M030915178,20210630,1,62800.0
278,278,M030918245,20211227,83,3077450.0
279,279,M030959068,20210521,2,28900.0
280,280,M030996048,20211228,49,2017850.0
281,281,M031064579,20211218,96,8706780.0
282,282,M031090387,20211205,48,18440970.0
283,283,M031140733,20211209,53,3639650.0
284,284,M031662181,20211229,44,844375.0
285,285,M031687336,20210704,26,1296180.0
286,286,M031700216,20210824,65,17422669.0
287,287,M031704059,20211229,97,13484170.0
288,288,M031925364,20211216,21,300230.0
289,289,M032032611,20210608,39,3048590.0
290,290,M032127141,20211224,81,1155690.0
291,291,M032297192,20211228,101,1885921.0
292,292,M032346209,20211231,81,2487440.0
293,293,M032536059,20211002,15,2663480.0
294,294,M032575952,20211016,19,1351100.0
295,295,M032576038,20211218,13,274480.0
296,296,M032694772,20211222,90,5846471.0
297,297,M032724385,20211104,35,567490.0
298,298,M032895354,20211224,32,7766450.0
299,299,M032911167,20211223,37,3485000.0
300,300,M033212196,20211225,113,5557445.0
301,301,M033269717,20211222,44,2403370.0
302,302,M033480950,20211231,126,14833240.0
303,303,M033482606,20211230,20,791650.0
304,304,M033634119,20211229,90,4441900.0
305,305,M033704434,20211224,20,1109270.0
306,306,M033975838,20211225,53,5035542.0
307,307,M034251158,20211225,123,13229556.0
308,308,M034298304,20211231,222,17602446.0
309,309,M034436789,20211222,25,1109750.0
310,310,M034775336,20211201,135,1391940.0
311,311,M034857155,20211218,57,481060.0
312,312,M034888674,20211231,39,1570300.0
313,313,M034936927,20211231,210,22242750.0
314,314,M034964840,20211228,35,1395080.0
318,318,M035547728,20211226,227,16340725.0
319,319,M035551031,20211222,34,4128714.0
320,320,M035670981,20210705,25,764550.0
321,321,M035747703,20211224,58,1779760.0
322,322,M035857673,20211224,142,8369953.0
323,323,M035899958,20211225,144,8769565.0
324,324,M035934590,20211228,141,1332690.0
325,325,M035979715,20211221,98,7394620.0
326,326,M036047628,20211218,21,481830.0
327,327,M036670906,20211229,151,5839808.0
328,328,M036787846,20211220,103,8723000.0
329,329,M036817156,20211102,20,1079697.0
331,331,M036895978,20211231,137,13302710.0
332,332,M037171700,20211127,27,2327290.0
333,333,M037392688,20211211,76,12630890.0
334,334,M037536150,20211231,137,2732170.0
335,335,M037548474,20211004,83,5103690.0
336,336,M037663353,20210916,25,2794587.0
338,338,M038082268,20211220,34,1775990.0
339,339,M038137438,20211223,96,15193013.0
340,340,M038184196,20211228,15,835270.0
341,341,M038270435,20211223,140,14002320.0
342,342,M038336563,20210810,58,3508280.0
343,343,M038394637,20211231,160,4115837.0
344,344,M038440469,20211103,15,902928.0
345,345,M038608044,20211225,31,159390.0
346,346,M038617186,20211210,54,3503520.0
347,347,M038673212,20211213,63,6374739.0
348,348,M038749165,20211228,79,7203260.0
349,349,M038801652,20211228,138,7117150.0
350,350,M039032216,20211225,29,426340.0
351,351,M039097739,20211229,145,11915692.0
352,352,M039218857,20211117,55,5324935.0
353,353,M039320884,20211227,154,5259820.0
354,354,M039336482,20211220,178,15365371.0
355,355,M039630277,20211229,58,1283006.0
356,356,M039656170,20211229,40,2742007.0
357,357,M039765618,20211220,87,7719666.0
358,358,M039785719,20211231,39,4119040.0
359,359,M039838780,20211223,94,2805401.0
360,360,M039902806,20210815,56,12875634.0
361,361,M040398827,20211228,121,2247016.0
362,362,M040448106,20210618,55,1602018.0
363,363,M040573933,20211230,56,2442702.0
364,364,M040706769,20211225,34,2570430.0
366,366,M040784463,20211225,42,1738520.0
367,367,M040864600,20211228,53,2399416.0
368,368,M041003585,20211225,63,6838600.0
369,369,M041025546,20210524,51,2716680.0
370,370,M041029569,20211226,59,4001700.0
371,371,M041279110,20211225,31,1555827.0
372,372,M041414798,20211209,37,3628558.0
373,373,M041542868,20211229,59,7716470.0
374,374,M041671640,20210126,1,388000.0
375,375,M041983263,20210905,77,6336405.0
376,376,M042133454,20211230,46,1773342.0
377,377,M042212109,20211231,136,5269098.0
378,378,M042287054,20211022,26,1935602.0
379,379,M042328599,20211214,54,9661992.0
380,380,M042503442,20210630,34,1170968.0
381,381,M042513371,20211030,6,397640.0
382,382,M042638395,20211231,101,6486875.0
383,383,M042667132,20211227,102,3109997.0
384,384,M042737324,20211213,113,16834980.0
385,385,M042916641,20211028,53,1928160.0
386,386,M043042418,20211217,53,7236579.0
387,387,M043104578,20211229,69,1508999.0
388,388,M043250216,20211231,31,8880400.0
389,389,M043359884,20211230,134,12151337.0
390,390,M043459226,20211225,147,8741091.0
391,391,M043611542,20211009,25,1780570.0
392,392,M043721895,20210603,32,872880.0
393,393,M043729143,20211129,72,2599330.0
394,394,M043748210,20211213,32,1850260.0
395,395,M043767284,20211031,43,3836100.0
396,396,M043793502,20211231,50,4798750.0
397,397,M043804006,20211226,39,4722550.0
398,398,M043852162,20211230,73,2882053.0
399,399,M043873800,20211230,28,541922.0
400,400,M044182143,20211231,41,5014380.0
401,401,M044352089,20211221,42,8037060.0
402,402,M044376221,20211224,41,1180182.0
403,403,M044547101,20211230,30,725720.0
404,404,M044626650,20211225,48,5941810.0
405,405,M044772689,20211219,21,478350.0
406,406,M044837439,20211231,203,6265388.0
407,407,M044854485,20211225,49,10637374.0
408,408,M044885220,20211231,122,11840340.0
409,409,M044901114,20211228,122,22149076.0
410,410,M045055866,20211118,31,1133360.0
411,411,M045220507,20211225,83,1080149.0
413,413,M045416783,20211225,30,469990.0
414,414,M045574611,20211127,21,3161960.0
415,415,M045677356,20211227,56,6650800.0
416,416,M045767804,20211016,4,35380.0
417,417,M045797634,20211231,131,10063207.0
418,418,M045913435,20210221,24,200200.0
419,419,M046113066,20211231,165,4943160.0
420,420,M046113622,20211005,42,3459100.0
421,421,M046409527,20211225,50,4474220.0
422,422,M046497583,20210926,16,722460.0
423,423,M046501505,20211213,76,7064530.0
424,424,M046567517,20211231,60,6601350.0
425,425,M046679940,20211231,202,19188552.0
426,426,M046760217,20211231,79,6202800.0
427,427,M046817737,20211230,85,10980980.0
428,428,M046979611,20211231,74,6010028.0
429,429,M046984192,20211230,170,6283868.0
430,430,M047262601,20211225,96,7505359.0
431,431,M047264703,20211030,16,390710.0
432,432,M047458702,20211220,37,1686605.0
433,433,M047616615,20211226,81,15507284.0
435,435,M047887049,20211230,106,9101868.0
436,436,M047950443,20211225,58,1646026.0
437,437,M047980278,20211116,2,167381.0
438,438,M048032817,20211221,34,786300.0
439,439,M048155337,20211226,23,3358592.0
440,440,M048371652,20211225,24,1170130.0
441,441,M048866855,20211224,88,4637530.0
442,442,M048877870,20211219,26,3737137.0
443,443,M048965303,20211231,260,2002583.0
444,444,M049131587,20211228,29,1508820.0
445,445,M049147786,20211227,25,1328260.0
446,446,M049288827,20211228,189,22041930.0
447,447,M049320021,20211231,40,2379840.0
448,448,M049345995,20211231,93,2486860.0
449,449,M049621013,20211222,84,769240.0
450,450,M049729478,20210724,21,2453400.0
451,451,M049793704,20210626,60,2847821.0
452,452,M049811117,20211219,43,880170.0
453,453,M049927846,20210823,17,1152080.0
454,454,M050032265,20211218,16,1478900.0
455,455,M050041697,20211229,48,1266796.0
456,456,M050101003,20211001,50,11009590.0
457,457,M050156093,20211230,86,4799410.0
458,458,M050173190,20211205,123,1612510.0
459,459,M050258217,20211230,20,1338286.0
460,460,M050275195,20211221,163,6008801.0
461,461,M050381215,20211103,34,2084290.0
462,462,M050388344,20211230,98,5325506.0
463,463,M050517741,20211228,22,1439110.0
464,464,M050571384,20211211,40,13680510.0
465,465,M050571621,20211209,29,11960780.0
466,466,M050939327,20211118,23,4625750.0
467,467,M050994369,20211124,15,347700.0
468,468,M051013001,20211230,67,4560505.0
469,469,M051020916,20211017,31,1090990.0
472,472,M051207337,20210917,21,2871400.0
473,473,M051228523,20211211,46,4179450.0
474,474,M051383948,20210919,13,1103800.0
475,475,M051581833,20211231,79,9898807.0
476,476,M051792698,20210501,32,2887970.0
477,477,M052078037,20211217,1,499000.0
478,478,M052186520,20211230,201,8536844.0
479,479,M052226273,20211214,19,1047990.0
480,480,M052236972,20211209,6,4390500.0
481,481,M052251047,20211206,27,1808680.0
482,482,M052348195,20211214,15,1060745.0
483,483,M052425190,20211229,170,12552515.0
484,484,M052429414,20210727,59,3058100.0
485,485,M052443217,20211231,70,22750940.0
486,486,M052658222,20211215,54,6432030.0
487,487,M052721089,20211231,39,1073199.0
488,488,M052865440,20211231,67,2971800.0
490,490,M053281627,20211229,89,4754058.0
491,491,M053291261,20211118,33,1089799.0
492,492,M053333840,20210528,73,1948159.0
493,493,M053373693,20210602,3,120650.0
494,494,M053820581,20211219,27,6076020.0
495,495,M054090448,20211223,47,5886478.0
496,496,M054106081,20211228,55,3921940.0
497,497,M054142332,20211228,137,4018219.0
498,498,M054153739,20211221,20,490902.0
499,499,M054153775,20211203,102,6052334.0
500,500,M054184138,20211230,158,3108303.0
501,501,M054350787,20211225,40,1600300.0
502,502,M054395652,20211219,51,24642174.0
503,503,M054578187,20211227,146,3934040.0
504,504,M054579732,20211231,167,20981590.0
505,505,M054687684,20211219,37,2174173.0
506,506,M054694720,20211013,18,587620.0
507,507,M054922365,20211202,47,1585238.0
508,508,M055093452,20211229,60,5611640.0
509,509,M055544793,20211230,125,9415964.0
510,510,M055586276,20211225,144,11402760.0
511,511,M055905901,20211231,93,2281294.0
512,512,M055939543,20211123,31,2756634.0
513,513,M055967343,20211224,85,5942833.0
514,514,M056145651,20211231,153,10225848.0
515,515,M056617460,20211229,65,1374764.0
516,516,M056621722,20211229,187,8490620.0
517,517,M056635590,20211223,29,1863577.0
518,518,M056705012,20211113,41,3498000.0
519,519,M056729430,20211231,116,20560540.0
520,520,M056753299,20211218,30,5816440.0
521,521,M056896338,20211224,98,6530880.0
522,522,M056915029,20211230,201,3692300.0
524,524,M057037090,20211230,47,4464440.0
525,525,M057111638,20211229,159,7599774.0
526,526,M057159597,20211225,117,3829157.0
527,527,M057216075,20211122,23,2766560.0
528,528,M057558020,20211231,68,3231589.0
529,529,M057602790,20211224,111,6433670.0
530,530,M057690131,20211108,6,95500.0
531,531,M057730243,20211231,41,83800.0
532,532,M057796559,20211211,146,18893884.0
533,533,M057982536,20210917,22,1326331.0
535,535,M058071296,20210705,22,1127270.0
536,536,M058162968,20211230,153,7327580.0
537,537,M058287503,20211223,22,638451.0
538,538,M058299099,20211231,112,2414313.0
539,539,M058328532,20211228,123,4909610.0
540,540,M058364605,20211227,43,2841332.0
541,541,M058369358,20211016,12,5519450.0
542,542,M058642605,20211231,105,2596268.0
543,543,M059184567,20210518,4,367690.0
544,544,M059275971,20211229,34,835220.0
545,545,M059302508,20211223,32,2320400.0
546,546,M059329351,20211208,18,4437790.0
547,547,M059544045,20211219,156,7854501.0
548,548,M059586129,20211114,27,2002970.0
549,549,M059603556,20210422,7,19900.0
550,550,M059605585,20211229,31,695060.0
551,551,M059952135,20211227,155,11395650.0
552,552,M060118164,20211225,43,7793020.0
554,554,M060350786,20211220,58,4374682.0
555,555,M060392453,20211129,16,1378160.0
556,556,M060416593,20211214,36,1376410.0
557,557,M060646742,20211207,46,634717.0
558,558,M060790553,20211227,70,1412760.0
559,559,M060910636,20211214,30,8921184.0
560,560,M061069756,20210522,27,2087690.0
561,561,M061073007,20211229,88,8609660.0
562,562,M061155123,20211218,134,6331330.0
563,563,M061272282,20210603,29,898054.0
564,564,M061530328,20211213,55,21680960.0
565,565,M061567206,20211230,24,3445430.0
566,566,M061589994,20211231,127,14874574.0
567,567,M061683673,20211225,192,15749230.0
568,568,M061808581,20211223,62,7806950.0
570,570,M061906173,20211229,106,10825725.0
571,571,M062070017,20211119,27,1714918.0
572,572,M062359799,20211102,28,538800.0
573,573,M062626476,20211226,18,1115579.0
574,574,M062713188,20211106,94,9747830.0
575,575,M062826009,20211229,113,7431350.0
576,576,M062833416,20211231,119,3768370.0
577,577,M063050819,20211218,35,3047762.0
578,578,M063107810,20210701,81,4186715.0
579,579,M063241538,20211201,18,1473780.0
580,580,M063403258,20211231,88,9340696.0
581,581,M063467735,20211225,29,689660.0
582,582,M063584440,20211204,33,320380.0
583,583,M063683153,20211231,235,16794608.0
584,584,M063818871,20211228,47,1275126.0
585,585,M063954226,20211226,118,3474959.0
587,587,M064002427,20211224,30,2281640.0
588,588,M064120209,20211116,25,920760.0
589,589,M064289519,20211206,39,704880.0
590,590,M064308879,20210504,19,1318023.0
591,591,M064396919,20211230,160,3325840.0
592,592,M064449266,20211229,71,2904516.0
594,594,M064601903,20211231,117,4189046.0
595,595,M064660141,20211230,132,3136837.0
596,596,M064676860,20211227,34,3512030.0
597,597,M064954670,20210703,1,128000.0
598,598,M064990101,20211219,63,3734726.0
599,599,M065000570,20211218,48,2731330.0
601,601,M065263825,20211225,47,2864520.0
602,602,M065308498,20211211,78,13044310.0
603,603,M065425567,20211127,20,699760.0
604,604,M065507164,20211205,20,702890.0
605,605,M065520837,20211225,67,3386240.0
606,606,M065592983,20211115,17,951720.0
607,607,M065761687,20211224,55,11514998.0
608,608,M065822382,20211231,41,1858732.0
609,609,M065887840,20211230,89,2441320.0
610,610,M065905599,20211214,111,5373040.0
611,611,M065959253,20211222,50,3638200.0
612,612,M065960799,20210721,10,873630.0
613,613,M066035437,20211231,100,18569360.0
614,614,M066071224,20211229,136,1381680.0
615,615,M066356663,20211226,64,6167620.0
617,617,M066416187,20211219,42,1437950.0
618,618,M066475944,20210717,49,599440.0
619,619,M066484209,20211225,69,850195.0
620,620,M066585801,20211227,30,2075420.0
621,621,M066611710,20211211,49,1152270.0
622,622,M066706672,20210528,22,768710.0
623,623,M066706943,20211025,1,71200.0
625,625,M067242911,20211203,28,5030550.0
626,626,M067367346,20211226,206,14533624.0
628,628,M067651699,20211231,69,3466750.0
630,630,M068633282,20211231,59,4092740.0
631,631,M068815073,20211017,47,3300251.0
632,632,M068944376,20211231,167,6841360.0
633,633,M069050417,20211211,5,308680.0
634,634,M069103585,20210928,19,3135780.0
635,635,M069274206,20211217,52,10069480.0
636,636,M069463267,20211230,86,6836230.0
637,637,M069552338,20210305,7,395270.0
638,638,M069576817,20211107,26,1225200.0
640,640,M070050055,20211231,183,25310571.0
641,641,M070231934,20211224,26,858469.0
642,642,M070509529,20211211,70,2234929.0
643,643,M070544564,20211226,135,9859837.0
644,644,M070774742,20210521,44,6646030.0
645,645,M071099613,20211231,126,1447360.0
646,646,M071121776,20211230,225,12859550.0
647,647,M071425384,20211229,78,1997250.0
648,648,M071727740,20211204,13,608035.0
649,649,M071908843,20211127,34,2726990.0
650,650,M071944846,20211220,82,3966395.0
651,651,M072055624,20211230,118,7350363.0
652,652,M072300498,20211228,79,3107440.0
653,653,M072450416,20211211,54,9747994.0
654,654,M072738528,20211231,245,7637096.0
655,655,M072825790,20211229,171,20591172.0
656,656,M072865783,20211231,85,12357226.0
657,657,M072891449,20211231,79,4669042.0
658,658,M072945899,20211217,25,6132280.0
659,659,M072953358,20211231,114,2152450.0
660,660,M072994801,20211106,27,5885880.0
661,661,M073027406,20211224,65,9259060.0
662,662,M073325300,20211208,39,1640411.0
663,663,M073553732,20211219,36,978190.0
664,664,M073574798,20211116,186,4224125.0
665,665,M073630488,20211205,43,3352235.0
666,666,M073736555,20211231,29,1310700.0
667,667,M073769237,20211230,133,21134904.0
668,668,M073874461,20211206,24,2077290.0
669,669,M073970063,20211211,22,629256.0
671,671,M074170698,20211112,20,6977150.0
672,672,M074294048,20211020,19,1306510.0
673,673,M074334264,20211213,54,2583897.0
674,674,M074620514,20211229,49,2322014.0
675,675,M074641402,20211229,36,891019.0
677,677,M074815596,20211231,47,3987532.0
678,678,M074915400,20211231,90,14546105.0
679,679,M075037046,20211219,20,1901120.0
681,681,M075584360,20211228,32,4879430.0
682,682,M075627808,20211228,141,5076587.0
683,683,M075651214,20211212,95,4486860.0
684,684,M075693769,20211227,35,2622820.0
686,686,M075996146,20211229,109,1587012.0
687,687,M076157838,20211226,35,2094800.0
688,688,M076227094,20211202,61,4126140.0
689,689,M076278121,20211108,30,1148450.0
690,690,M076452320,20211225,22,10769230.0
692,692,M076780325,20211103,32,1342620.0
693,693,M076809249,20211123,32,4403885.0
694,694,M077104923,20211017,25,1916292.0
695,695,M077172432,20210530,1,48580.0
696,696,M077335426,20211024,21,2322800.0
697,697,M077371923,20210426,1,138000.0
698,698,M077556073,20211228,63,3023540.0
699,699,M077597870,20211204,24,1758593.0
700,700,M077601014,20211217,41,458912.0
701,701,M077793628,20210625,64,4575160.0
702,702,M077939428,20211116,23,10851550.0
703,703,M077981123,20211121,8,117000.0
704,704,M078002335,20211217,5,229359.0
705,705,M078027392,20211231,96,9172626.0
706,706,M078076246,20211228,93,18576170.0
707,707,M078130709,20211218,36,1569520.0
708,708,M078175257,20211216,23,12234850.0
709,709,M078213748,20211231,172,6734456.0
710,710,M078463151,20211214,27,2272157.0
